event_id,event_base_id,date,release_time_utc,event_name,prefixed_name,currency,country,impact,actual,forecast,previous,surprise,actual_raw,forecast_raw,previous_raw,source,source_url
121813,723,2021-06-04,2021-06-04 07:00:00,RBNZ Gov Orr Speaks,NZ RBNZ Gov Orr Speaks,NZD,NZ,medium,,,,,,,,forexfactory,https://www.forexfactory.com/calendar?day=jun4.2021#detail=121813
121814,514,2021-06-04,2021-06-04 07:00:00,SNB Chairman Jordan Speaks,SZ SNB Chairman Jordan Speaks,CHF,SZ,medium,,,,,,,,forexfactory,https://www.forexfactory.com/calendar?day=jun4.2021#detail=121814
119822,251,2021-06-04,2021-06-04 08:30:00,Construction PMI,UK Construction PMI,GBP,UK,low,64.2,61.9,61.6,2.3000000000000043,64.2,61.9,61.6,forexfactory,https://www.forexfactory.com/calendar?day=jun4.2021#detail=119822
120322,106,2021-06-04,2021-06-04 09:00:00,Retail Sales m/m,EZ Retail Sales m/m,EUR,EZ,low,-3.1,-1.4,2.7,-1.7000000000000002,-3.1%,-1.4%,2.7%,forexfactory,https://www.forexfactory.com/calendar?day=jun4.2021#detail=120322
121799,423,2021-06-04,2021-06-04 10:15:00,G7 Meetings,WW G7 Meetings,All,WW,low,,,,,,,,forexfactory,https://www.forexfactory.com/calendar?day=jun4.2021#detail=121799
121811,717,2021-06-04,2021-06-04 11:00:00,Fed Chairman Powell Speaks,US Fed Chairman Powell Speaks,USD,US,high,,,,,,,,forexfactory,https://www.forexfactory.com/calendar?day=jun4.2021#detail=121811
121812,832,2021-06-04,2021-06-04 11:00:00,ECB President Lagarde Speaks,EZ ECB President Lagarde Speaks,EUR,EZ,medium,,,,,,,,forexfactory,https://www.forexfactory.com/calendar?day=jun4.2021#detail=121812
117369,66,2021-06-04,2021-06-04 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,559000.0,645000.0,266000.0,-86000.0,559K,645K,266K,forexfactory,https://www.forexfactory.com/calendar?day=jun4.2021#detail=117369
117386,56,2021-06-04,2021-06-04 12:30:00,Unemployment Rate,US Unemployment Rate,USD,US,high,5.8,5.9,6.1,-0.10000000000000053,5.8%,5.9%,6.1%,forexfactory,https://www.forexfactory.com/calendar?day=jun4.2021#detail=117386
117387,159,2021-06-04,2021-06-04 12:30:00,Average Hourly Earnings m/m,US Average Hourly Earnings m/m,USD,US,high,0.5,0.2,0.7,0.3,0.5%,0.2%,0.7%,forexfactory,https://www.forexfactory.com/calendar?day=jun4.2021#detail=117387
117627,67,2021-06-04,2021-06-04 12:30:00,Employment Change,CA Employment Change,CAD,CA,high,-68000.0,-23500.0,-207100.0,-44500.0,-68.0K,-23.5K,-207.1K,forexfactory,https://www.forexfactory.com/calendar?day=jun4.2021#detail=117627
