event_id,event_base_id,date,release_time_utc,event_name,prefixed_name,currency,country,impact,actual,forecast,previous,surprise,actual_raw,forecast_raw,previous_raw,source,source_url
117369,66,2021-06-04,2021-06-04 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,559000.0,645000.0,266000.0,-86000.0,559K,645K,266K,forexfactory,https://www.forexfactory.com/calendar?day=jun4.2021#detail=117369
117370,66,2021-07-02,2021-07-02 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,850000.0,725000.0,559000.0,125000.0,850K,725K,559K,forexfactory,https://www.forexfactory.com/calendar?day=jul2.2021#detail=117370
117371,66,2021-08-06,2021-08-06 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,943000.0,870000.0,850000.0,73000.0,943K,870K,850K,forexfactory,https://www.forexfactory.com/calendar?day=aug6.2021#detail=117371
117372,66,2021-09-03,2021-09-03 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,235000.0,720000.0,943000.0,-485000.0,235K,720K,943K,forexfactory,https://www.forexfactory.com/calendar?day=sep3.2021#detail=117372
117373,66,2021-10-08,2021-10-08 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,194000.0,490000.0,235000.0,-296000.0,194K,490K,235K,forexfactory,https://www.forexfactory.com/calendar?day=oct8.2021#detail=117373
117374,66,2021-11-05,2021-11-05 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,531000.0,455000.0,194000.0,76000.0,531K,455K,194K,forexfactory,https://www.forexfactory.com/calendar?day=nov5.2021#detail=117374
117375,66,2021-12-03,2021-12-03 13:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,210000.0,553000.0,531000.0,-343000.0,210K,553K,531K,forexfactory,https://www.forexfactory.com/calendar?day=dec3.2021#detail=117375
122937,66,2022-01-07,2022-01-07 13:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,199000.0,426000.0,210000.0,-227000.0,199K,426K,210K,forexfactory,https://www.forexfactory.com/calendar?day=jan7.2022#detail=122937
122938,66,2022-02-04,2022-02-04 13:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,467000.0,110000.0,199000.0,357000.0,467K,110K,199K,forexfactory,https://www.forexfactory.com/calendar?day=feb4.2022#detail=122938
122939,66,2022-03-04,2022-03-04 13:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,678000.0,407000.0,467000.0,271000.0,678K,407K,467K,forexfactory,https://www.forexfactory.com/calendar?day=mar4.2022#detail=122939
122940,66,2022-04-01,2022-04-01 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,431000.0,492000.0,678000.0,-61000.0,431K,492K,678K,forexfactory,https://www.forexfactory.com/calendar?day=apr1.2022#detail=122940
122941,66,2022-05-06,2022-05-06 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,428000.0,390000.0,431000.0,38000.0,428K,390K,431K,forexfactory,https://www.forexfactory.com/calendar?day=may6.2022#detail=122941
122942,66,2022-06-03,2022-06-03 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,390000.0,325000.0,428000.0,65000.0,390K,325K,428K,forexfactory,https://www.forexfactory.com/calendar?day=jun3.2022#detail=122942
122943,66,2022-07-08,2022-07-08 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,372000.0,260000.0,390000.0,112000.0,372K,260K,390K,forexfactory,https://www.forexfactory.com/calendar?day=jul8.2022#detail=122943
122944,66,2022-08-05,2022-08-05 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,528000.0,250000.0,372000.0,278000.0,528K,250K,372K,forexfactory,https://www.forexfactory.com/calendar?day=aug5.2022#detail=122944
