event_base_id,event_name,currency,impact,max_mover_score,best_pair,best_horizon_label,best_horizon_minutes,best_corr,best_slope_pct_per_1sd_surprise,best_n_events,avg_mover_score,median_abs_corr,stats_rows,rank,filtered_rank
104,Retail Sales m/m,CAD,medium,1.1746629027605089,USD/JPY,6h,360,-0.7978143439232994,-0.4439305885317469,11,0.20316280486380686,0.22878517724765102,32,1,1
103,Core Retail Sales m/m,CAD,medium,1.0319576729039917,USD/JPY,6h,360,-0.74778397805226,-0.41609201940253066,11,0.1570729357503613,0.3255787384430906,32,2,2
592,Spanish Flash CPI y/y,EUR,medium,0.8224038112678755,EUR/USD,12h,720,-0.7575919384660709,-0.3273055933294619,11,0.08957053962012536,0.19163693027053336,36,3,3
67,Employment Change,CAD,high,0.6675381960533527,USD/CAD,6h,360,-0.47528795124557943,-0.20936932793984314,45,0.21482308008324438,0.19508975994060251,36,6,4
263,Flash Manufacturing PMI,EUR,medium,0.5888848604821015,EUR/USD,12h,720,-0.7045370675847809,-0.2520172099590501,11,0.06997046273411793,0.19539113456397578,36,11,5
57,Unemployment Rate,CAD,high,0.5593031671430291,USD/CAD,2h,120,0.5017988846874696,0.16615420240078366,45,0.11237745496923528,0.17349767921590487,36,16,6
254,Ivey PMI,CAD,medium,0.5431330694654969,USD/JPY,12h,720,0.4465347576605269,0.20859866193944596,34,0.17431986317594236,0.3194418415444644,36,19,7
593,Core CPI Flash Estimate y/y,EUR,medium,0.517336115389009,GBP/USD,6h,360,0.448074813301205,0.2581708872906176,20,0.051633988956193234,0.14440047420822139,36,22,8
78,CPI m/m,USD,high,0.5022807599791226,USD/JPY,12h,720,0.4917906875299903,0.29483267916193723,12,0.05550971329954171,0.19150609225692256,36,23,9
75,ADP Non-Farm Employment Change,USD,high,0.4718810906977838,USD/JPY,4h,240,0.5518406954198435,0.2137759568179246,16,0.11139457243159646,0.2687283188373478,36,25,10
267,German Flash Services PMI,EUR,high,0.44355918928335647,EUR/USD,12h,720,0.5486086555562821,0.1960940720199982,17,0.041110243436881716,0.19365539988707492,36,27,11
664,Common CPI y/y,CAD,medium,0.4053240015628359,EUR/USD,12h,720,0.551479771116129,0.1782576899644232,17,0.12868418762859582,0.37648161776858424,36,29,12
