event_base_id,event_name,currency,impact,history_events,surprise_mean,surprise_std,surprise_median,surprise_abs_mean
1,Federal Funds Rate,USD,high,34,0.0,0.06154574548966637,0.0,0.014705882352941176
2,Advance GDP q/q,USD,high,19,-0.26842105263157895,1.0760280002443903,-0.20000000000000018,0.8789473684210526
3,Advance GDP Price Index q/q,USD,medium,19,0.13157894736842102,0.6280946775579365,0.2999999999999998,0.5421052631578945
10,Crude Oil Inventories,USD,low,256,464843.75,5026261.852588294,0.0,3829687.5
11,Unemployment Claims,USD,high,250,-1132.0,14645.015600118384,-2000.0,10660.0
12,Main Refinancing Rate,EUR,high,40,0.0125,0.055180356965788054,0.0,0.0125
13,Overnight Rate,CAD,high,40,0.00625,0.06904801376671313,0.0,0.01875
15,Official Bank Rate,GBP,high,40,0.00375,0.061381008505304015,0.0,0.01625
21,Cash Rate,AUD,high,47,0.012765957446808501,0.09057070568873064,0.0,0.034042553191489355
23,Official Cash Rate,NZD,high,34,-0.007352941176470588,0.09702573302931146,0.0,0.03676470588235294
26,Natural Gas Storage,USD,low,256,210937500.0,9962008100.386028,0.0,7320312500.0
27,Prelim GDP q/q,USD,high,19,0.026315789473684233,0.32290711644055353,0.0,0.20526315789473681
28,Final GDP q/q,USD,high,20,0.060000000000000074,0.23929721664644754,0.0,0.18000000000000002
29,GDP m/m,CAD,high,59,0.006779661016949149,0.14367636858418392,0.0,0.10169491525423727
30,GDP q/q,NZD,high,20,0.12999999999999995,0.6712909793430628,0.10000000000000005,0.5199999999999999
31,GDP q/q,AUD,high,19,-0.015789473684210516,0.250029238056354,0.0,0.16315789473684214
32,GDP q/q,CHF,medium,19,0.03157894736842105,0.13764944032233706,0.0,0.11578947368421051
33,Prelim GDP q/q,GBP,medium,19,0.021052631578947368,0.1548438186920437,0.0,0.12631578947368424
35,Final GDP q/q,GBP,low,20,0.040000000000000015,0.19841477024816373,0.0,0.11000000000000001
36,Prelim GDP q/q,JPY,low,19,-0.04736842105263159,0.3437835576389947,-0.1,0.2894736842105263
37,Final GDP q/q,JPY,low,20,1.1102230246251566e-17,0.1747178176073456,0.0,0.15000000000000002
38,German Prelim GDP q/q,EUR,low,20,-0.045000000000000005,0.23946211655115282,0.0,0.17500000000000002
39,French Prelim GDP q/q,EUR,low,19,-0.01052631578947368,0.08752610304046612,0.0,0.04210526315789474
40,Italian Prelim GDP q/q,EUR,low,20,0.175,0.395866803755745,0.09999999999999998,0.27499999999999997
41,Flash GDP q/q,EUR,low,19,-1.460819769243627e-18,0.04714045207910317,0.0,0.021052631578947368
42,Revised GDP q/q,EUR,low,20,0.05,0.13572417850765925,0.0,0.1
43,Prelim GDP Price Index y/y,JPY,low,19,0.07368421052631574,0.2642433753256811,0.09999999999999964,0.21052631578947367
44,Final GDP Price Index y/y,JPY,low,20,0.04500000000000002,0.19594574974238477,0.04999999999999993,0.13500000000000004
45,Prelim GDP Price Index q/q,USD,medium,19,0.17368421052631575,0.26000449838663664,0.1999999999999993,0.20526315789473684
