date,actual,forecast,surprise,surprise_factor,surprise_sign
2024-01-05,216,173,43,0.86,positive
2024-02-02,353,180,173,3.46,positive
2024-03-08,275,200,75,1.5,positive
2024-04-05,175,200,-25,-0.5,negative
2024-05-03,275,190,85,1.7,positive
2024-06-07,206,190,16,0.32,positive
2024-07-05,206,190,16,0.32,positive
2024-08-02,114,175,-61,-1.22,negative
2024-09-06,142,175,-33,-0.66,negative
2024-10-04,254,140,114,2.28,positive
2024-11-01,254,117,137,2.74,positive
2024-12-06,227,200,27,0.54,positive
2023-01-06,50,180,-130,-2.6,negative
2023-02-03,517,185,332,6.64,positive
2023-03-10,311,185,126,2.52,positive
2023-04-07,236,180,56,1.12,positive
2023-05-05,339,180,159,3.18,positive
2023-06-02,339,180,159,3.18,positive
2023-07-07,306,180,126,2.52,positive
2023-08-04,187,180,7,0.14,positive
2023-09-08,157,180,-23,-0.46,negative
2023-10-06,336,170,166,3.32,positive
2023-11-03,150,170,-20,-0.4,negative
2023-12-08,199,180,19,0.38,positive
2022-01-07,231,193,38,0.76,positive
2022-02-04,467,200,267,5.34,positive
2022-03-04,431,250,181,3.62,positive
2022-04-01,275,250,25,0.5,positive
2022-05-06,397,240,157,3.14,positive
2022-06-03,372,230,142,2.84,positive
2022-07-01,372,225,147,2.94,positive
2022-08-05,528,375,153,3.06,positive
2022-09-02,263,375,-112,-2.24,negative
2022-10-07,263,250,13,0.26,positive
2022-11-04,217,250,-33,-0.66,negative
2022-12-02,217,200,17,0.34,positive
2021-06-04,282,130,152,3.04,positive
2021-07-02,339,130,209,4.18,positive
2021-08-06,235,130,105,2.1,positive
2021-09-03,194,130,64,1.28,positive
2021-10-08,266,130,136,2.72,positive
2021-11-05,249,130,119,2.38,positive
2021-12-03,194,130,64,1.28,positive
