date,actual,forecast,surprise,surprise_factor,surprise_sign,USD/CAD_r1h,USD/CAD_r4h,USD/CAD_r6h,USD/JPY_r1h,USD/JPY_r4h,USD/JPY_r6h,EUR/USD_r1h,EUR/USD_r4h,EUR/USD_r6h,GBP/USD_r1h,GBP/USD_r4h,GBP/USD_r6h
2024-01-05,216,173,43,0.86,positive,,,,,,,,,,,,
2024-02-02,353,180,173,3.46,positive,,,,,,,,,,,,
2024-03-08,275,200,75,1.5,positive,,,,,,,,,,,,
2024-04-05,175,200,-25,-0.5,negative,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-05-03,275,190,85,1.7,positive,-0.027149985324330897,0.09539184032874075,0.13941884355738282,-0.0848030401571122,-0.4399556218677154,-0.38193248912864314,0.04609441980953278,0.33833304140201365,0.42683432743633287,0.032198278570083984,0.3675315700194774,0.4578438147892192
2024-06-07,206,190,16,0.32,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-05,206,190,16,0.32,positive,0.06866245536940446,-0.06793969268130075,-0.05998930311222397,0.1139545026096956,1.8471884188461014,1.3463513456479181,0.2424308707460568,-0.12759519512951528,-0.14126610889339988,0.18497762241050278,0.14108462726225468,0.07132611711591406
2024-08-02,114,175,-61,-1.22,negative,-0.007409602845286678,0.006668642560769526,-0.034825133372849024,0.11090396940955681,-0.035380407419004445,-0.06259610543361628,0.06960640740539291,0.025311420874695626,0.07231834535625029,0.09744733656634776,0.027407063409280025,0.07156288779091005
2024-09-06,142,175,-33,-0.66,negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-04,254,140,114,2.28,positive,0.03524469890957947,-0.09350634404579343,-0.03380613977040384,0.27630138612295335,0.265750497870038,0.3580707700829594,-0.1246665627778669,-0.18424984645846745,-0.2676664436113001,-0.00694048151517833,-0.10642071656615334,-0.17428320249239854
2024-11-01,254,117,137,2.74,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-06,227,200,27,0.54,positive,,,,,,,,,,,,
2023-01-06,50,180,-130,-2.6,negative,0.1706586380099193,0.19972277286751344,0.07899482807445178,0.19578495403966117,0.44599661344944486,0.13833454281567475,-0.16149241264096476,-0.5216019304840093,-0.36567822172723136,-0.032325174680280185,-0.40779451135111233,-0.22461852149624034
2023-02-03,517,185,332,6.64,positive,0.18883312882535386,-0.0007347592561182277,-0.07200640710071204,-0.07198472161010584,-0.0029381519024562954,-0.11972969002497579,-0.002825470676342007,0.025429236086910764,0.09700782655376063,-0.033319172684938565,-0.06247344878426905,0.2015809947439079
2023-03-10,311,185,126,2.52,positive,0.2248420928065272,0.09762880345546705,-0.034022158779945195,0.22019644829893353,0.4847327957433747,0.4283685171685621,-0.10033044614832663,-0.16016052871384417,-0.07363702469602948,-0.1736840404562717,-0.09774776230330527,-0.02100365140402535
2023-04-07,236,180,56,1.12,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05,339,180,159,3.18,positive,-0.03795518311515383,-0.1160982071757627,-0.036466744561625186,-0.11478600608864113,-0.41208889142383814,-0.41208889142383814,0.011231643282999781,0.2770472009808829,0.2873428739903133,0.019383758026088757,0.45148003069094883,0.40948188830108695
2023-06-02,339,180,159,3.18,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-07,306,180,126,2.52,positive,-0.1263032024214319,-0.07473562273456821,-0.09267217219086789,-0.13014421385859357,0.2370735138937809,0.20119591980303095,0.17112533110019765,0.11286989923629931,0.1929711180491621,0.15361825862730813,0.09405199507795264,0.1982929562893291
2023-08-04,187,180,7,0.14,positive,-0.024272737302779703,0.0022066124820693976,-0.009561987422306165,0.015710167893877983,0.05669321457356364,0.05942541768554571,0.019444084368812013,-0.04907316531174603,-0.0416658950760228,0.055436323463021825,-0.03405374155585451,0.028510109209550567
2023-09-08,157,180,-23,-0.46,negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06,336,170,166,3.32,positive,0.06520242054827435,0.2080616565810454,0.1904789813770118,0.058114679634488624,0.0848340725698782,0.10821354138835149,-0.0939386329603649,-0.08835812011123882,-0.183226838546465,-0.21096197048143345,-0.24397510326669686,-0.41789794915977774
2023-11-03,150,170,-20,-0.4,negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-08,199,180,19,0.38,positive,,,,,,,,,,,,
2022-01-07,231,193,38,0.76,positive,0.05582989966344702,-0.19186613405466596,-0.3813732582643995,0.09303457930112131,0.11998852283694053,0.07912286650841802,-0.07606690390213831,-0.12852683762774958,-0.04633960812428803,-0.009620935154910786,0.07696748123917126,0.13321294829855995
2022-02-04,467,200,267,5.34,positive,0.2588478915662714,-0.08157630522087803,-0.23845381526103882,-0.05369499510683268,-0.514432695055735,-0.5923770427914624,-0.25950292397660396,-0.18183479532163158,-0.09868421052631304,-0.34806717244391727,-0.3661485839994474,-0.24861940888850992
2022-03-04,431,250,181,3.62,positive,-0.09284605164160047,-0.0008003969968979389,-0.015207542941291879,0.014665145836715573,0.04888381945575476,0.0260713703763953,-0.17715677011409772,-0.23893451558978765,-0.37339196162510324,-0.0892053858704687,-0.07090684517908746,-0.04422147333750324
2022-04-01,275,250,25,0.5,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-06,397,240,157,3.14,positive,-0.09001186882164709,0.2230382590270684,0.19436191143787968,0.13460185383462203,0.6638318700480299,0.8664994340603751,-0.05318255612158833,-0.23978801619735035,-0.23698893429621626,-0.03186717760374407,-0.19359310394276116,-0.13782554313620904
2022-06-03,372,230,142,2.84,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,372,225,147,2.94,positive,0.21370699440292157,0.41254060824299255,0.5808446514540673,-0.22676251162157052,-0.31368814107650783,-0.2638003885197694,0.17297318427019479,0.32249237745290443,0.19642717535767995,0.14795559697221272,0.3547664590383712,0.13569408341098915
2022-08-05,528,375,153,3.06,positive,-0.057057651050623714,-0.058579188411966694,-0.025105366462269026,-0.005689940895744636,-0.046230769777881736,-0.03413964537443623,0.07965074659971541,0.11796376395148407,0.14316969641974703,0.09225413402959624,0.26457789382070773,0.2288946910356754
2022-09-02,263,375,-112,-2.24,negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-07,263,250,13,0.26,positive,-0.0703844472598228,-0.0666800026672092,-0.02222666755574737,-0.23992747646733836,-0.08997280367525189,-0.16495014007128755,0.15045739046702544,0.32900016048788927,0.5968143155191794,0.2711971165622599,0.3525562515309495,0.9570633726423302
2022-11-04,217,250,-33,-0.66,negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-02,217,200,17,0.34,positive,,,,,,,,,,,,
2021-06-04,282,130,152,3.04,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-02,339,130,209,4.18,positive,0.07383390581362011,0.35953901961414075,0.40127122724791287,-0.043826010737375916,-0.2647821482049507,-0.22278222124831065,-0.06225392872766119,-0.1489046673621201,-0.14469832082645825,0.0007196211913935801,-0.07915833105454015,-0.038859544335860516
2021-08-06,235,130,105,2.1,positive,-0.08291609528974007,-0.0980642280830488,-0.08530790573078789,-0.02093592696091831,-0.00910257693953058,-0.011833350021387733,0.032870616197637745,0.029499270946595577,0.041298979325233805,-0.07874015748031751,-0.072238676587453,-0.05634616773820724
2021-09-03,194,130,64,1.28,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08,266,130,136,2.72,positive,0.006428129494675099,0.0008035161868388478,0.08436919961752593,-0.06701526360805524,-0.19134621319671674,-0.1428483250592957,0.0440559078108542,0.11489089684005382,0.09934175290682472,0.20564563853710535,0.28997514498758326,0.28479701739851837
2021-11-05,249,130,119,2.38,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-03,194,130,64,1.28,positive,,,,,,,,,,,,
