pair,horizon_label,horizon_minutes,forecast_k,scenario_actual_k,delta_k,predicted_return_pct,slope_pct_per_1k_delta,intercept_pct,n_events
EUR/USD,1m,1,65.0,-85.0,-150.0,-0.02479446955642757,-0.0005428833514437612,-0.10622697227299176,59
EUR/USD,1m,1,65.0,-35.0,-100.0,-0.051938637128615635,-0.0005428833514437612,-0.10622697227299176,59
EUR/USD,1m,1,65.0,-10.0,-75.0,-0.06551072091470966,-0.0005428833514437612,-0.10622697227299176,59
EUR/USD,1m,1,65.0,15.0,-50.0,-0.0790828047008037,-0.0005428833514437612,-0.10622697227299176,59
EUR/USD,1m,1,65.0,40.0,-25.0,-0.09265488848689772,-0.0005428833514437612,-0.10622697227299176,59
EUR/USD,1m,1,65.0,65.0,0.0,-0.10622697227299176,-0.0005428833514437612,-0.10622697227299176,59
EUR/USD,1m,1,65.0,90.0,25.0,-0.11979905605908579,-0.0005428833514437612,-0.10622697227299176,59
EUR/USD,1m,1,65.0,115.0,50.0,-0.13337113984517981,-0.0005428833514437612,-0.10622697227299176,59
EUR/USD,1m,1,65.0,140.0,75.0,-0.14694322363127385,-0.0005428833514437612,-0.10622697227299176,59
EUR/USD,1m,1,65.0,165.0,100.0,-0.1605153074173679,-0.0005428833514437612,-0.10622697227299176,59
EUR/USD,1m,1,65.0,215.0,150.0,-0.18765947498955593,-0.0005428833514437612,-0.10622697227299176,59
EUR/USD,5m,5,65.0,-85.0,-150.0,-0.039362694072867396,-0.0005298352243570913,-0.11883797772643108,59
EUR/USD,5m,5,65.0,-35.0,-100.0,-0.06585445529072195,-0.0005298352243570913,-0.11883797772643108,59
EUR/USD,5m,5,65.0,-10.0,-75.0,-0.07910033589964924,-0.0005298352243570913,-0.11883797772643108,59
EUR/USD,5m,5,65.0,15.0,-50.0,-0.09234621650857652,-0.0005298352243570913,-0.11883797772643108,59
EUR/USD,5m,5,65.0,40.0,-25.0,-0.1055920971175038,-0.0005298352243570913,-0.11883797772643108,59
EUR/USD,5m,5,65.0,65.0,0.0,-0.11883797772643108,-0.0005298352243570913,-0.11883797772643108,59
EUR/USD,5m,5,65.0,90.0,25.0,-0.13208385833535835,-0.0005298352243570913,-0.11883797772643108,59
EUR/USD,5m,5,65.0,115.0,50.0,-0.14532973894428564,-0.0005298352243570913,-0.11883797772643108,59
EUR/USD,5m,5,65.0,140.0,75.0,-0.15857561955321292,-0.0005298352243570913,-0.11883797772643108,59
EUR/USD,5m,5,65.0,165.0,100.0,-0.1718215001621402,-0.0005298352243570913,-0.11883797772643108,59
EUR/USD,5m,5,65.0,215.0,150.0,-0.19831326137999478,-0.0005298352243570913,-0.11883797772643108,59
EUR/USD,15m,15,65.0,-85.0,-150.0,-0.042103808961561726,-0.0006436905348718288,-0.13865738919233606,59
EUR/USD,15m,15,65.0,-35.0,-100.0,-0.07428833570515317,-0.0006436905348718288,-0.13865738919233606,59
EUR/USD,15m,15,65.0,-10.0,-75.0,-0.0903805990769489,-0.0006436905348718288,-0.13865738919233606,59
EUR/USD,15m,15,65.0,15.0,-50.0,-0.10647286244874461,-0.0006436905348718288,-0.13865738919233606,59
EUR/USD,15m,15,65.0,40.0,-25.0,-0.12256512582054033,-0.0006436905348718288,-0.13865738919233606,59
EUR/USD,15m,15,65.0,65.0,0.0,-0.13865738919233606,-0.0006436905348718288,-0.13865738919233606,59
EUR/USD,15m,15,65.0,90.0,25.0,-0.15474965256413178,-0.0006436905348718288,-0.13865738919233606,59
