pair,horizon_hours,surprise_factor,expected_return_pct,expected_price,coefficient
EUR/USD,1,-2.0,0.21762617827646938,1.1759536255758962,-0.10881308913823469
EUR/USD,1,-1.5,0.16321963370735204,1.175315219181922,-0.10881308913823469
EUR/USD,1,-1.0,0.10881308913823469,1.174676812787948,-0.10881308913823469
EUR/USD,1,-0.5,0.054406544569117345,1.174038406393974,-0.10881308913823469
EUR/USD,1,0.0,-0.0,1.1734,-0.10881308913823469
EUR/USD,1,0.5,-0.054406544569117345,1.172761593606026,-0.10881308913823469
EUR/USD,1,1.0,-0.10881308913823469,1.1721231872120519,-0.10881308913823469
EUR/USD,1,1.5,-0.16321963370735204,1.171484780818078,-0.10881308913823469
EUR/USD,1,2.0,-0.21762617827646938,1.170846374424104,-0.10881308913823469
EUR/USD,4,-2.0,0.40869382327050807,1.1781956133222562,-0.20434691163525404
EUR/USD,4,-1.5,0.306520367452881,1.1769967099916923,-0.20434691163525404
EUR/USD,4,-1.0,0.20434691163525404,1.1757978066611279,-0.20434691163525404
EUR/USD,4,-0.5,0.10217345581762702,1.174598903330564,-0.20434691163525404
EUR/USD,4,0.0,-0.0,1.1734,-0.20434691163525404
EUR/USD,4,0.5,-0.10217345581762702,1.172201096669436,-0.20434691163525404
EUR/USD,4,1.0,-0.20434691163525404,1.171002193338872,-0.20434691163525404
EUR/USD,4,1.5,-0.306520367452881,1.169803290008308,-0.20434691163525404
EUR/USD,4,2.0,-0.40869382327050807,1.1686043866777438,-0.20434691163525404
EUR/USD,6,-2.0,0.4401526396911547,1.178564751074136,-0.22007631984557735
EUR/USD,6,-1.5,0.33011447976836605,1.177273563305602,-0.22007631984557735
EUR/USD,6,-1.0,0.22007631984557735,1.175982375537068,-0.22007631984557735
EUR/USD,6,-0.5,0.11003815992278868,1.174691187768534,-0.22007631984557735
EUR/USD,6,0.0,-0.0,1.1734,-0.22007631984557735
EUR/USD,6,0.5,-0.11003815992278868,1.172108812231466,-0.22007631984557735
EUR/USD,6,1.0,-0.22007631984557735,1.170817624462932,-0.22007631984557735
EUR/USD,6,1.5,-0.33011447976836605,1.169526436694398,-0.22007631984557735
EUR/USD,6,2.0,-0.4401526396911547,1.168235248925864,-0.22007631984557735
GBP/USD,1,-2.0,0.2614841381154347,1.3598465093652599,-0.13074206905771735
GBP/USD,1,-1.5,0.19611310358657602,1.3589598820239448,-0.13074206905771735
GBP/USD,1,-1.0,0.13074206905771735,1.35807325468263,-0.13074206905771735
GBP/USD,1,-0.5,0.06537103452885867,1.357186627341315,-0.13074206905771735
GBP/USD,1,0.0,-0.0,1.3563,-0.13074206905771735
GBP/USD,1,0.5,-0.06537103452885867,1.3554133726586852,-0.13074206905771735
GBP/USD,1,1.0,-0.13074206905771735,1.3545267453173702,-0.13074206905771735
GBP/USD,1,1.5,-0.19611310358657602,1.3536401179760553,-0.13074206905771735
GBP/USD,1,2.0,-0.2614841381154347,1.3527534906347405,-0.13074206905771735
GBP/USD,4,-2.0,0.4008485860382984,1.3617367093724375,-0.2004242930191492
GBP/USD,4,-1.5,0.3006364395287238,1.3603775320293283,-0.2004242930191492
GBP/USD,4,-1.0,0.2004242930191492,1.3590183546862187,-0.2004242930191492
GBP/USD,4,-0.5,0.1002121465095746,1.3576591773431093,-0.2004242930191492
GBP/USD,4,0.0,-0.0,1.3563,-0.2004242930191492
GBP/USD,4,0.5,-0.1002121465095746,1.3549408226568909,-0.2004242930191492
GBP/USD,4,1.0,-0.2004242930191492,1.3535816453137812,-0.2004242930191492
GBP/USD,4,1.5,-0.3006364395287238,1.352222467970672,-0.2004242930191492
GBP/USD,4,2.0,-0.4008485860382984,1.3508632906275626,-0.2004242930191492
GBP/USD,6,-2.0,0.46936434661452675,1.362665988633133,-0.23468217330726338
GBP/USD,6,-1.5,0.35202325996089506,1.3610744914748496,-0.23468217330726338
GBP/USD,6,-1.0,0.23468217330726338,1.3594829943165665,-0.23468217330726338
GBP/USD,6,-0.5,0.11734108665363169,1.3578914971582832,-0.23468217330726338
GBP/USD,6,0.0,-0.0,1.3563,-0.23468217330726338
GBP/USD,6,0.5,-0.11734108665363169,1.3547085028417167,-0.23468217330726338
GBP/USD,6,1.0,-0.23468217330726338,1.3531170056834336,-0.23468217330726338
GBP/USD,6,1.5,-0.35202325996089506,1.3515255085251503,-0.23468217330726338
GBP/USD,6,2.0,-0.46936434661452675,1.3499340113668672,-0.23468217330726338
USD/CAD,1,-2.0,-0.20548561523539283,1.362195121352037,0.10274280761769641
USD/CAD,1,-1.5,-0.15411421142654463,1.3628963410140276,0.10274280761769641
USD/CAD,1,-1.0,-0.10274280761769641,1.3635975606760184,0.10274280761769641
USD/CAD,1,-0.5,-0.05137140380884821,1.364298780338009,0.10274280761769641
USD/CAD,1,0.0,0.0,1.365,0.10274280761769641
USD/CAD,1,0.5,0.05137140380884821,1.3657012196619907,0.10274280761769641
USD/CAD,1,1.0,0.10274280761769641,1.3664024393239818,0.10274280761769641
USD/CAD,1,1.5,0.15411421142654463,1.3671036589859724,0.10274280761769641
USD/CAD,1,2.0,0.20548561523539283,1.367804878647963,0.10274280761769641
USD/CAD,4,-2.0,-0.2907972483225128,1.3610306175603977,0.1453986241612564
USD/CAD,4,-1.5,-0.21809793624188462,1.3620229631702983,0.1453986241612564
USD/CAD,4,-1.0,-0.1453986241612564,1.3630153087801988,0.1453986241612564
USD/CAD,4,-0.5,-0.0726993120806282,1.3640076543900994,0.1453986241612564
USD/CAD,4,0.0,0.0,1.365,0.1453986241612564
USD/CAD,4,0.5,0.0726993120806282,1.3659923456099006,0.1453986241612564
USD/CAD,4,1.0,0.1453986241612564,1.3669846912198012,0.1453986241612564
USD/CAD,4,1.5,0.21809793624188462,1.3679770368297017,0.1453986241612564
USD/CAD,4,2.0,0.2907972483225128,1.368969382439602,0.1453986241612564
USD/CAD,6,-2.0,-0.2893796824809582,1.361049967334135,0.1446898412404791
USD/CAD,6,-1.5,-0.21703476186071863,1.362037475500601,0.1446898412404791
