pair,horizon_label,horizon_minutes,n_events,slope_pct_per_1k_delta,intercept_pct,corr,r2,rmse_pct,mean_return_pct,std_return_pct,delta_std_k_series
EUR/USD,1m,1,59,-0.0005428833514437612,-0.10622697227299176,-0.39494682639847817,0.15598299568222965,0.1737706482935509,-0.12011190409212118,0.19077120907785897,138.78576934276484
EUR/USD,5m,5,59,-0.0005298352243570913,-0.11883797772643108,-0.30712833601800404,0.094327814785188,0.22591204344993096,-0.13238918710871667,0.23942300534908864,138.78576934276484
EUR/USD,15m,15,59,-0.0006436905348718288,-0.13865738919233606,-0.34175899956533157,0.11679921378389631,0.2435677672726691,-0.15512059287236302,0.26139790382832334,138.78576934276484
EUR/USD,30m,30,59,-0.0006787523462602713,-0.14094789505466884,-0.3161734250769741,0.09996563472490495,0.28025182803814613,-0.15830784913105442,0.29794144320005606,138.78576934276484
EUR/USD,1h,60,59,-0.0005799454307243027,-0.09749344874714903,-0.24997844325940677,0.062489222094396446,0.3091047185211791,-0.11232629035669095,0.3219804545161101,138.78576934276484
EUR/USD,2h,120,59,-0.0004398901503873844,-0.09636016345203799,-0.1470139664652832,0.021613106335855413,0.4072619946720488,-0.10761091323058987,0.41527002104411964,138.78576934276484
EUR/USD,4h,240,59,-0.0005519745186707471,-0.09702394806631061,-0.1750398675472113,0.030638955230945272,0.4272260866360194,-0.1111413980438387,0.4376500582683535,138.78576934276484
EUR/USD,6h,360,59,-0.0006627961898469626,-0.10920563314837642,-0.1905670626735579,0.03631580537602775,0.4698210373577518,-0.12615748824124193,0.4826997794626105,138.78576934276484
EUR/USD,12h,720,59,-0.0006139525471250473,-0.1325803425384825,-0.16550652943531935,0.02739241128572423,0.5034095250948366,-0.14828295937935868,0.5148309065715698,138.78576934276484
GBP/USD,1m,1,59,-0.0005269670058192374,-0.11869580092539,-0.36793201466797015,0.1353739674176314,0.18325799368473172,-0.13217365197252948,0.19877455183364548,138.78576934276484
GBP/USD,5m,5,59,-0.0005336499152338756,-0.13198159424652484,-0.3000972349248475,0.09005835040953912,0.23341789650672273,-0.14563036919716757,0.24679672261552837,138.78576934276484
